Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Import to Pre-consumer processes,90000$\pm$10000,109000$\pm$13000,126000$\pm$17000,53600$\pm$6200,32100$\pm$4100,104000$\pm$13000,67400$\pm$7900,582000$\pm$30000,199000$\pm$17000,85.8$\pm$7.5,10,10,10,10,10,10,10,10,10,10
Import to Consumer packaging,5700$\pm$2500,10600$\pm$4500,10200$\pm$4300,2700$\pm$1100,0$\pm$0,910$\pm$390,11700$\pm$5000,41700$\pm$8300,16300$\pm$5200,2.7$\pm$1.1,8,10,10,8,0,6,10,10,10,8
Import to Non-consumer packaging,16500$\pm$7000,2300$\pm$1100,4600$\pm$2000,640$\pm$290,1180$\pm$510,760$\pm$330,890$\pm$410,26800$\pm$7400,18800$\pm$7100,1.82$\pm$0.59,10,8,8,6,8,6,6,10,10,8
Import to Construction,330$\pm$160,36$\pm$25,580$\pm$230,0$\pm$0,0$\pm$0,0$\pm$0,710$\pm$340,1660$\pm$440,370$\pm$160,0$\pm$0,6,4,6,0,0,0,6,8,6,0
Import to Automotive,1640$\pm$320,3600$\pm$700,15300$\pm$2900,14.6$\pm$2.9,0$\pm$0,1660$\pm$330,1880$\pm$910,24000$\pm$3100,5240$\pm$770,0.0146$\pm$0.0029,8,8,10,4,0,8,8,10,8,4
Import to Agriculture,770$\pm$360,245$\pm$90,1740$\pm$410,0$\pm$0,0$\pm$0,0$\pm$0,590$\pm$320,3340$\pm$640,1020$\pm$370,0$\pm$0,6,6,8,0,0,0,6,8,8,0
Import to Hygiene products,0$\pm$0,370$\pm$240,280$\pm$180,0$\pm$0,0$\pm$0,0$\pm$0,910$\pm$480,1550$\pm$720,370$\pm$240,0$\pm$0,0,6,6,0,0,0,6,8,6,0
Import to Clothing,0$\pm$0,118$\pm$63,2240$\pm$660,0$\pm$0,0$\pm$0,0$\pm$0,15700$\pm$2800,18100$\pm$2900,118$\pm$63,0$\pm$0,0,6,8,0,0,0,10,10,6,0
Import to Household textiles,0$\pm$0,156$\pm$32,3960$\pm$730,0$\pm$0,0$\pm$0,0$\pm$0,11000$\pm$2000,15100$\pm$2100,156$\pm$32,0$\pm$0,0,6,8,0,0,0,10,10,6,0
Import to Other products,1610$\pm$330,1020$\pm$210,6900$\pm$1100,1800$\pm$360,0$\pm$0,680$\pm$140,1800$\pm$1000,13900$\pm$1600,2630$\pm$390,1.8$\pm$0.36,8,8,8,8,0,6,8,10,8,8
Production to Pre-consumer processes,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,26300$\pm$1800,26300$\pm$1800,0$\pm$0,0$\pm$0,0,0,0,0,0,0,10,10,0,0
Pre-consumer processes to Consumer packaging,15200$\pm$2900,41600$\pm$7600,28500$\pm$5400,18600$\pm$3100,0$\pm$0,3900$\pm$1200,68800$\pm$6900,177000$\pm$12000,56800$\pm$8200,18.6$\pm$3.1,10,10,10,10,0,8,10,10,10,10
Pre-consumer processes to Non-consumer packaging,43700$\pm$6400,9000$\pm$2100,12800$\pm$2700,4500$\pm$1000,5500$\pm$1500,3300$\pm$1000,5210$\pm$970,84100$\pm$7700,52800$\pm$6800,10$\pm$1.9,10,8,10,8,8,8,8,10,10,10
Pre-consumer processes to Construction,7800$\pm$2200,26000$\pm$6500,12900$\pm$3700,10600$\pm$2900,24300$\pm$3500,70000$\pm$11000,79$\pm$60,151000$\pm$14000,33700$\pm$6800,34.9$\pm$4.5,8,10,10,10,10,10,4,10,10,10
Pre-consumer processes to Automotive,1000$\pm$290,3110$\pm$810,12000$\pm$3000,19.2$\pm$5,0$\pm$0,9100$\pm$4600,240$\pm$160,25500$\pm$5600,4100$\pm$860,0.0192$\pm$0.005,6,8,10,4,0,8,6,10,8,4
Pre-consumer processes to Agriculture,9700$\pm$4100,830$\pm$190,4500$\pm$1100,75$\pm$44,0$\pm$0,1020$\pm$620,65$\pm$52,16100$\pm$4300,10500$\pm$4100,0.075$\pm$0.044,8,6,8,4,0,8,4,10,10,4
Pre-consumer processes to Hygiene products,0$\pm$0,580$\pm$380,760$\pm$470,0$\pm$0,0$\pm$0,0$\pm$0,101$\pm$79,1440$\pm$740,580$\pm$380,0$\pm$0,0,6,6,0,0,0,6,8,6,0
Pre-consumer processes to PCCP,0$\pm$0,76$\pm$44,0.165$\pm$0.089,0$\pm$0,0$\pm$0,0$\pm$0,0.24$\pm$0.14,77$\pm$44,76$\pm$44,0$\pm$0,0,4,1,0,0,0,1,4,4,0
Pre-consumer processes to Clothing,0$\pm$0,123$\pm$69,4400$\pm$1800,0$\pm$0,0$\pm$0,0$\pm$0,7300$\pm$2000,11900$\pm$2600,123$\pm$69,0$\pm$0,0,6,8,0,0,0,8,10,6,0
Pre-consumer processes to Household textiles,0$\pm$0,60$\pm$25,1920$\pm$660,0$\pm$0,0$\pm$0,0$\pm$0,3500$\pm$1500,5500$\pm$1700,60$\pm$25,0$\pm$0,0,4,8,0,0,0,8,8,4,0
Pre-consumer processes to Other products,4300$\pm$2500,8200$\pm$2500,31300$\pm$6400,11400$\pm$2700,228$\pm$90,8600$\pm$2900,590$\pm$200,64600$\pm$8400,12500$\pm$3600,11.6$\pm$2.7,8,8,10,10,6,8,6,10,10,10
Pre-consumer processes to Waste collection and recycling,5900$\pm$1500,6500$\pm$1700,9800$\pm$2100,3500$\pm$870,2160$\pm$570,6400$\pm$1800,7700$\pm$1500,41900$\pm$4000,12400$\pm$2300,6$\pm$1,8,8,8,8,8,8,8,10,10,8
Pre-consumer processes to Storm water and wastewater (MP),1.05$\pm$0.58,1.56$\pm$0.87,2.2$\pm$1.2,0.55$\pm$0.3,0.52$\pm$0.29,0.74$\pm$0.4,0.91$\pm$0.48,7.5$\pm$1.8,2.6$\pm$1.1,0.00107$\pm$0.00041,2,2,2,1,1,1,1,2,2,2
Pre-consumer processes to EEEPC,2080$\pm$590,13000$\pm$6800,4800$\pm$1300,4900$\pm$1300,0$\pm$0,1530$\pm$580,208$\pm$56,26500$\pm$7100,15100$\pm$6800,4.9$\pm$1.3,8,10,8,8,0,8,6,10,10,8
